Execution Order,Page ID,Priority,Cluster,Page Type,Parent Pillar,Primary Keyword,Search Intent,Funnel,H1 / Page Title,Suggested URL,Target Length,H2 / H3 Content Structure,Answer-First / LLM Blocks,Required Tables,CTA Guidance,Evidence Requirement
94,BL-G07,P2,Blenders,Informational,BL-HUB,can a blender crush ice,Informational,TOFU/MOFU,Can a Blender Crush Ice?,/can-a-blender-crush-ice/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
95,BL-G08,P2,Blenders,Informational,BL-HUB,can you put hot liquid in a blender,Informational,TOFU/MOFU,Can You Put Hot Liquid in a Blender?,/can-you-put-hot-liquid-in-a-blender/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
96,CC-G03,P2,Cross-Category,Informational,,kitchen appliance wattage guide,Informational,TOFU/MOFU,Kitchen Appliance Wattage and Circuit Guide,/kitchen-appliance-wattage-guide/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
97,CC-G05,P2,Cross-Category,Informational,,counter space for small appliances,Informational,TOFU/MOFU,How Much Counter Space Do Small Appliances Need?,/small-appliance-counter-space/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
98,AF-G07,P2,Air Fryers,How-To,AF-HUB,how to clean an air fryer,Informational,TOFU/MOFU,How to Clean an Air Fryer,/how-to-clean-an-air-fryer/,"1,200–2,000",Quick answer | What you need | Step-by-step instructions | What to avoid | Troubleshooting common problems | Safety and manufacturer guidance | When replacement or service is better | Frequently asked questions,Numbered steps; short answer at top; safety caveats; troubleshooting table; outcome checks; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
99,BL-G04,P2,Blenders,How-To,BL-HUB,how to clean a blender,Informational,TOFU/MOFU,How to Clean a Blender Safely,/how-to-clean-a-blender/,"1,200–2,000",Quick answer | What you need | Step-by-step instructions | What to avoid | Troubleshooting common problems | Safety and manufacturer guidance | When replacement or service is better | Frequently asked questions,Numbered steps; short answer at top; safety caveats; troubleshooting table; outcome checks; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
100,EK-G03,P2,Electric Kettles,How-To,EK-HUB,how to descale electric kettle,Informational,TOFU/MOFU,How to Descale an Electric Kettle,/how-to-descale-electric-kettle/,"1,200–2,000",Quick answer | What you need | Step-by-step instructions | What to avoid | Troubleshooting common problems | Safety and manufacturer guidance | When replacement or service is better | Frequently asked questions,Numbered steps; short answer at top; safety caveats; troubleshooting table; outcome checks; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
101,CG-HUB,P3,Coffee Grinders,Category Hub,,coffee grinder reviews and buying guides,Mixed,MOFU,"Coffee Grinder Reviews, Comparisons and Buying Guides",/coffee-grinders/,"1,500–2,200",Quick answer: how to choose the right coffee grinders | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
102,FP-HUB,P3,Food Processors,Category Hub,,food processor reviews and buying guides,Mixed,MOFU,"Food Processor Reviews, Comparisons and Buying Guides",/food-processors/,"1,500–2,200",Quick answer: how to choose the right food processors | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
103,MC-HUB,P3,Mini Choppers,Category Hub,,mini chopper reviews and buying guides,Mixed,MOFU,"Mini Chopper Reviews, Comparisons and Buying Guides",/mini-choppers/,"1,500–2,200",Quick answer: how to choose the right mini choppers | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
104,RC-HUB,P3,Rice Cookers,Category Hub,,rice cooker reviews and buying guides,Mixed,MOFU,"Rice Cooker Reviews, Comparisons and Buying Guides",/rice-cookers/,"1,500–2,200",Quick answer: how to choose the right rice cookers | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
